Window Time,PMU ID,Event Type,Severity,Confidence Level,Bad Data Flag,Bus ID
02:46.0,7.879256978,-31.12821871,0.27422139,-32.32781871,0,7.879256978
02:46.3,7.879416821,-31.12691871,0.27422139,-32.34831871,0,7.879416821
02:46.6,7.879077156,-31.12801871,0.27405469,-32.36991871,0,7.879077156
02:47.0,7.878797432,-31.12651871,0.27405469,-32.29721871,0,7.878797432
02:47.3,7.879177057,-31.12441871,0.27422139,-32.27631871,0,7.879177057
02:47.6,7.879236998,-31.12781871,0.27438809,-32.31111871,0,7.879236998
02:48.0,7.878957274,-31.12901871,0.27455479,-32.29591871,0,7.878957274
02:48.3,7.878697531,-31.12851871,0.27422139,-32.29411871,0,7.878697531
02:48.6,7.87863759,-31.12761871,0.27438809,-32.28411871,0,7.87863759
02:49.0,7.878897334,-31.12681871,0.27472149,-32.31161871,0,7.878897334
02:49.3,7.87863759,-31.12681871,0.27438809,-32.36371871,0,7.87863759
02:49.6,7.878397827,-31.12691871,0.27438809,-32.34531871,0,7.878397827
02:50.0,7.878997235,-31.12921871,0.27438809,-32.35971871,0,7.878997235
02:50.3,7.879157077,-31.13151871,0.27438809,-32.34891871,0,7.879157077
02:50.6,7.878997235,-31.12981871,0.27438809,-32.33851871,0,7.878997235
02:51.0,7.878977255,-31.12951871,0.27422139,-32.36791871,0,7.878977255
02:51.3,7.878837393,-31.12981871,0.27422139,-32.34721871,0,7.878837393
02:51.6,7.878977255,-31.13121871,0.27422139,-32.33531871,0,7.878977255
02:52.0,7.879117117,-31.13271871,0.27422139,-32.34651871,0,7.879117117
02:52.3,7.879057176,-31.13111871,0.27422139,-32.32401871,0,7.879057176
02:52.6,7.879316919,-31.13071871,0.27438809,-32.32671871,0,7.879316919
02:52.9,7.879296939,-31.13111871,0.27438809,-32.32111871,0,7.879296939
02:53.3,7.879097136,-31.13121871,0.27438809,-32.33961871,0,7.879097136
02:53.6,7.878997235,-31.13361871,0.27438809,-32.40261871,0,7.878997235
02:53.9,7.878937294,-31.13461871,0.27422139,-32.38251871,0,7.878937294
02:54.3,7.879157077,-31.13451871,0.27438809,-32.35691871,0,7.879157077
02:54.6,7.878857373,-31.13501871,0.27438809,-32.34901871,0,7.878857373
02:54.9,7.878497728,-31.13451871,0.27422139,-32.29671871,0,7.878497728
02:55.3,7.878797432,-31.13441871,0.27405469,-32.31521871,0,7.878797432
02:55.6,7.878917314,-31.13461871,0.27422139,-32.33541871,0,7.878917314
02:55.9,7.878997235,-31.13251871,0.27438809,-32.31581871,0,7.878997235
02:56.3,7.879097136,-31.13351871,0.27422139,-32.38361871,0,7.879097136
02:56.6,7.878857373,-31.13521871,0.27422139,-32.39531871,0,7.878857373
02:56.9,7.878877353,-31.13471871,0.27438809,-32.34611871,0,7.878877353
02:57.3,7.878997235,-31.13461871,0.27438809,-32.34031871,0,7.878997235
02:57.6,7.878937294,-31.13371871,0.27422139,-32.29811871,0,7.878937294
02:57.9,7.879177057,-31.13481871,0.27438809,-32.32031871,0,7.879177057
02:58.3,7.879017215,-31.13481871,0.27422139,-32.34041871,0,7.879017215
02:58.6,7.878997235,-31.13301871,0.27438809,-32.32341871,0,7.878997235
02:58.9,7.879037196,-31.13401871,0.27438809,-32.33151871,0,7.879037196
02:59.3,7.878997235,-31.13491871,0.27438809,-32.34961871,0,7.878997235
02:59.6,7.87937686,-31.13331871,0.27438809,-32.35321871,0,7.87937686
02:59.9,7.879516722,-31.13531871,0.27438809,-32.33551871,0,7.879516722
03:00.3,7.879177057,-31.13701871,0.27438809,-32.33081871,0,7.879177057
03:00.6,7.878957274,-31.13611871,0.27422139,-32.37431871,0,7.878957274
03:00.9,7.878877353,-31.13431871,0.27405469,-32.35121871,0,7.878877353
03:01.3,7.879037196,-31.13281871,0.27438809,-32.32361871,0,7.879037196
03:01.6,7.879077156,-31.13431871,0.27472149,-32.35841871,0,7.879077156
03:01.9,7.878897334,-31.13571871,0.27455479,-32.33001871,0,7.878897334
03:02.3,7.878877353,-31.13621871,0.27455479,-32.31381871,0,7.878877353
03:02.6,7.879037196,-31.13661871,0.27438809,-32.32561871,0,7.879037196
03:02.9,7.878997235,-31.13611871,0.27438809,-32.35671871,0,7.878997235
03:03.3,7.878897334,-31.13461871,0.27422139,-32.37151871,0,7.878897334
03:03.6,7.878797432,-31.13281871,0.27422139,-32.32531871,0,7.878797432
03:03.9,7.878957274,-31.13101871,0.27455479,-32.32041871,0,7.878957274
03:04.3,7.879057176,-31.13121871,0.27455479,-32.35381871,0,7.879057176
03:04.6,7.879137097,-31.13151871,0.27422139,-32.33231871,0,7.879137097
03:04.9,7.87937686,-31.13251871,0.27422139,-32.32671871,0,7.87937686
03:05.3,7.879177057,-31.13401871,0.27422139,-32.30801871,0,7.879177057
03:05.6,7.878817413,-31.13271871,0.27438809,-32.30461871,0,7.878817413
03:05.9,7.878837393,-31.13191871,0.27455479,-32.32661871,0,7.878837393
03:06.3,7.878997235,-31.13221871,0.27455479,-32.31771871,0,7.878997235
03:06.6,7.879217018,-31.13331871,0.27455479,-32.30921871,0,7.879217018
03:06.9,7.879117117,-31.13491871,0.27438809,-32.33701871,0,7.879117117
03:07.3,7.878997235,-31.13221871,0.27422139,-32.33291871,0,7.878997235
03:07.6,7.878877353,-31.13051871,0.27438809,-32.37421871,0,7.878877353
03:07.9,7.878537689,-31.13291871,0.27455479,-32.37661871,0,7.878537689
03:08.3,7.878897334,-31.13341871,0.27455479,-32.32681871,0,7.878897334
03:08.6,7.879177057,-31.13261871,0.27455479,-32.31131871,0,7.879177057
03:08.9,7.878877353,-31.13161871,0.27438809,-32.31681871,0,7.878877353
03:09.3,7.878977255,-31.13221871,0.27438809,-32.35081871,0,7.878977255
03:09.6,7.879057176,-31.13251871,0.27422139,-32.35911871,0,7.879057176
03:09.9,0,0,0,0,1,0
03:10.3,7.879117117,-31.13111871,0.27438809,-32.37531871,0,7.879117117
03:10.6,7.878817413,-31.13261871,0.27422139,-32.36061871,0,7.878817413
03:10.9,7.879057176,-31.13401871,0.27438809,-32.35001871,0,7.879057176
03:11.3,7.879436801,-31.13601871,0.27455479,-32.33741871,0,7.879436801
03:11.6,7.87939684,-31.13621871,0.27438809,-32.29751871,0,7.87939684
03:11.9,7.879316919,-31.13731871,0.27438809,-32.33341871,0,7.879316919
03:12.3,7.879037196,-31.13891871,0.27422139,-32.35771871,0,7.879037196
03:12.6,7.879097136,-31.13711871,0.27422139,-32.36461871,0,7.879097136
03:12.9,7.879157077,-31.13681871,0.27438809,-32.37991871,0,7.879157077
03:13.3,7.878997235,-31.13731871,0.27455479,-32.38031871,0,7.878997235
03:13.6,7.878957274,-31.13771871,0.27438809,-32.39401871,0,7.878957274
03:13.9,7.878937294,-31.13751871,0.27422139,-32.37091871,0,7.878937294
03:14.3,7.879137097,-31.13581871,0.27438809,-32.29041871,0,7.879137097
03:14.6,7.879296939,-31.13741871,0.27422139,-32.33461871,0,7.879296939
03:14.9,7.879037196,-31.13691871,0.27405469,-32.39491871,0,7.879037196
03:15.3,7.878977255,-31.13671871,0.27422139,-32.37361871,0,7.878977255
03:15.6,7.879217018,-31.14061871,0.27438809,-32.32881871,0,7.879217018
03:15.9,7.879296939,-31.14091871,0.27422139,-32.29361871,0,7.879296939
03:16.3,7.879536702,-31.13811871,0.27422139,-32.32071871,0,7.879536702
03:16.6,7.879516722,-31.13761871,0.27422139,-32.35731871,0,7.879516722
03:16.9,7.879436801,-31.13871871,0.27422139,-32.31191871,0,7.879436801
03:17.3,7.879736505,-31.13991871,0.27405469,-32.29001871,0,7.879736505
03:17.6,7.879416821,-31.13951871,0.27405469,-32.34221871,0,7.879416821
03:17.9,7.879077156,-31.13881871,0.27455479,-32.39951871,0,7.879077156
03:18.3,7.879157077,-31.13991871,0.27455479,-32.36221871,0,7.879157077
03:18.6,7.879236998,-31.13941871,0.27438809,-32.31401871,0,7.879236998
03:18.9,7.879316919,-31.13961871,0.27422139,-32.36421871,0,7.879316919
03:19.3,7.879117117,-31.14071871,0.27405469,-32.39041871,0,7.879117117
03:19.6,7.879037196,-31.14051871,0.27422139,-32.36331871,0,7.879037196
03:19.9,7.919077156,-31.10091871,0.31422139,-32.33461871,1,7.919077156
03:20.3,7.879057176,-31.14041871,0.27405469,-32.40141871,0,7.879057176
03:20.6,7.879436801,-31.13941871,0.27455479,-32.38931871,0,7.879436801
03:20.9,7.879756485,-31.14021871,0.27472149,-32.38921871,0,7.879756485
03:21.3,7.879876367,-31.13901871,0.27488819,-32.38101871,0,7.879876367
03:21.6,7.879616623,-31.13891871,0.27455479,-32.34941871,0,7.879616623
03:21.9,7.87937686,-31.13921871,0.27405469,-32.36131871,0,7.87937686
03:22.3,7.879536702,-31.13761871,0.27422139,-32.38281871,0,7.879536702
03:22.6,7.879456781,-31.13801871,0.27422139,-32.38351871,0,7.879456781
03:22.9,7.879476761,-31.13851871,0.27422139,-32.39641871,0,7.879476761
03:23.3,7.879656584,-31.13831871,0.27438809,-32.39241871,0,7.879656584
03:23.6,7.87937686,-31.13781871,0.27422139,-32.36121871,0,7.87937686
03:23.9,7.879236998,-31.13751871,0.27422139,-32.36651871,0,7.879236998
03:24.3,7.87935688,-31.13891871,0.27422139,-32.42111871,0,7.87935688
03:24.6,7.879097136,-31.13801871,0.27422139,-32.35431871,0,7.879097136
03:24.9,7.879097136,-31.13711871,0.27455479,-32.30981871,0,7.879097136
03:25.3,7.879177057,-31.13871871,0.27438809,-32.35891871,0,7.879177057
03:25.6,7.879256978,-31.13781871,0.27405469,-32.34541871,0,7.879256978
03:25.9,7.879696544,-31.13621871,0.27422139,-32.32981871,0,7.879696544
03:26.2,7.879896347,-31.13641871,0.27422139,-32.32311871,0,7.879896347
03:26.6,7.879756485,-31.13661871,0.27438809,-32.33301871,0,7.879756485
03:26.9,7.879676564,-31.13741871,0.27455479,-32.36721871,0,7.879676564
03:27.2,7.879656584,-31.13531871,0.27455479,-32.34421871,0,7.879656584
03:27.6,7.879656584,-31.13431871,0.27455479,-32.31011871,0,7.879656584
03:27.9,7.879456781,-31.13761871,0.27438809,-32.34961871,0,7.879456781
03:28.2,7.87935688,-31.13871871,0.27438809,-32.34871871,0,7.87935688
03:28.6,7.879796446,-31.13751871,0.27455479,-32.37391871,0,7.879796446
03:28.9,7.879756485,-31.13811871,0.27438809,-32.37201871,0,7.879756485
03:29.2,7.87935688,-31.14061871,0.27422139,-32.33021871,0,7.87935688
03:29.6,7.879596643,-31.14281871,0.27422139,-32.37691871,0,7.879596643
03:29.9,7.879796446,-31.14301871,0.27438809,-32.41171871,0,7.879796446
03:30.2,7.879756485,-31.14201871,0.27438809,-32.38641871,0,7.879756485
03:30.6,7.879616623,-31.14361871,0.27422139,-32.33191871,0,7.879616623
03:30.9,7.879316919,-31.14561871,0.27422139,-32.32581871,0,7.879316919
03:31.2,7.879576663,-31.14691871,0.27405469,-32.38851871,0,7.879576663
03:31.6,7.879776465,-31.14841871,0.27405469,-32.38481871,0,7.879776465
03:31.9,7.879856386,-31.14951871,0.27455479,-32.35961871,0,7.879856386
03:32.2,7.879756485,-31.15121871,0.27472149,-32.37501871,0,7.879756485
03:32.6,7.879496742,-31.12871871,0.27438809,-32.33911871,0,7.879496742
03:32.9,7.879436801,-31.12941871,0.27422139,-32.31741871,0,7.879436801
03:33.2,7.87939684,-31.13001871,0.27422139,-32.34641871,0,7.87939684
03:33.6,7.879197038,-31.13031871,0.27422139,-32.36931871,0,7.879197038
03:33.9,7.879496742,-31.13321871,0.27438809,-32.40561871,0,7.879496742
03:34.2,7.879736505,-31.13701871,0.27438809,-32.39201871,0,7.879736505
03:34.6,7.879476761,-31.13591871,0.27455479,-32.34821871,0,7.879476761
03:34.9,7.879276959,-31.13391871,0.27455479,-32.36091871,0,7.879276959
03:35.2,7.879177057,-31.13421871,0.27438809,-32.33991871,0,7.879177057
03:35.6,7.879576663,-31.13461871,0.27438809,-32.32091871,0,7.879576663
03:35.9,7.879856386,-31.13561871,0.27422139,-32.33391871,0,7.879856386
03:36.2,7.879556682,-31.13571871,0.27438809,-32.36711871,0,7.879556682
03:36.6,7.879416821,-31.13811871,0.27422139,-32.41651871,0,7.879416821
03:36.9,7.879137097,-31.13971871,0.27405469,-32.36511871,0,7.879137097
03:37.2,7.879276959,-31.13921871,0.27422139,-32.29551871,0,7.879276959
03:37.6,7.879576663,-31.13951871,0.27438809,-32.29861871,0,7.879576663
03:37.9,7.879516722,-31.13751871,0.27422139,-32.32601871,0,7.879516722
03:38.2,7.879756485,-31.13671871,0.27438809,-32.38291871,0,7.879756485
03:38.6,7.879776465,-31.13851871,0.27405469,-32.40451871,0,7.879776465
03:38.9,7.879776465,-31.13921871,0.27422139,-32.35471871,0,7.879776465
03:39.2,7.879856386,-31.13911871,0.27438809,-32.31401871,0,7.879856386
03:39.6,7.879496742,-31.13901871,0.27422139,-32.29051871,0,7.879496742
03:39.9,7.879416821,-31.14011871,0.27422139,-32.33631871,0,7.879416821
03:40.2,7.879436801,-31.14161871,0.27422139,-32.39721871,0,7.879436801
03:40.6,7.87939684,-31.14011871,0.27438809,-32.41051871,0,7.87939684
03:40.9,7.87939684,-31.13861871,0.27455479,-32.39571871,0,7.87939684
03:41.2,7.879456781,-31.14061871,0.27422139,-32.37491871,0,7.879456781
03:41.6,7.879616623,-31.14221871,0.27438809,-32.39981871,0,7.879616623
03:41.9,7.879656584,-31.14171871,0.27455479,-32.38941871,0,7.879656584
03:42.2,7.879596643,-31.13861871,0.27472149,-32.29371871,0,7.879596643
03:42.6,7.879536702,-31.13681871,0.27438809,-32.33191871,0,7.879536702
03:42.9,7.879556682,-31.13911871,0.27405469,-32.37141871,0,7.879556682
03:43.2,7.879776465,-31.14151871,0.27422139,-32.33681871,0,7.879776465
03:43.6,7.879696544,-31.14231871,0.27422139,-32.38171871,0,7.879696544
03:43.9,7.879416821,-31.14021871,0.27422139,-32.36971871,0,7.879416821
03:44.2,7.879536702,-31.13771871,0.27455479,-32.34971871,0,7.879536702
03:44.6,7.879656584,-31.13931871,0.27455479,-32.40351871,0,7.879656584
03:44.9,7.879556682,-31.14071871,0.27438809,-32.36881871,0,7.879556682
03:45.2,7.879676564,-31.14011871,0.27438809,-32.33561871,0,7.879676564
03:45.6,7.879556682,-31.14051871,0.27438809,-32.37931871,0,7.879556682
03:45.9,7.87937686,-31.14091871,0.27438809,-32.40451871,0,7.87937686
03:46.2,7.879456781,-31.14181871,0.27438809,-32.42291871,0,7.879456781
03:46.6,7.879436801,-31.14161871,0.27438809,-32.37181871,0,7.879436801
03:46.9,7.879496742,-31.13861871,0.27455479,-32.31271871,0,7.879496742
03:47.2,7.879416821,-31.13971871,0.27438809,-32.32391871,0,7.879416821
03:47.6,7.879316919,-31.14151871,0.27405469,-32.33531871,0,7.879316919
03:47.9,7.879736505,-31.14191871,0.27422139,-32.38011871,0,7.879736505
03:48.2,7.879816426,-31.14251871,0.27438809,-32.40141871,0,7.879816426
03:48.6,7.879656584,-31.14011871,0.27438809,-32.31691871,0,7.879656584
03:48.9,7.879656584,-31.13861871,0.27438809,-32.27301871,0,7.879656584
03:49.2,7.879616623,-31.13861871,0.27422139,-32.30051871,0,7.879616623
03:49.6,7.879556682,-31.14041871,0.27422139,-32.38051871,0,7.879556682
03:49.9,7.879516722,-31.14361871,0.27422139,-32.45051871,0,7.879516722
03:50.2,7.879536702,-31.14311871,0.27422139,-32.41401871,0,7.879536702
03:50.6,7.879556682,-31.14251871,0.27438809,-32.36491871,0,7.879556682
03:50.9,7.879496742,-31.14241871,0.27438809,-32.35731871,0,7.879496742
03:51.2,7.879556682,-31.14181871,0.27455479,-32.39181871,0,7.879556682
03:51.6,7.879516722,-31.14221871,0.27455479,-32.40581871,0,7.879516722
03:51.9,7.879336899,-31.14321871,0.27438809,-32.34831871,0,7.879336899
03:52.2,7.879536702,-31.14401871,0.27438809,-32.34811871,0,7.879536702
03:52.6,7.879696544,-31.14501871,0.27438809,-32.34941871,0,7.879696544
03:52.9,7.879756485,-31.14321871,0.27472149,-32.29781871,0,7.879756485
03:53.2,7.879656584,-31.14261871,0.27455479,-32.34591871,0,7.879656584
03:53.6,7.87939684,-31.14231871,0.27422139,-32.34261871,0,7.87939684
03:53.9,7.879456781,-31.14101871,0.27438809,-32.31891871,0,7.879456781
03:54.2,7.879476761,-31.14071871,0.27438809,-32.34611871,0,7.879476761
03:54.6,7.879756485,-31.14081871,0.27422139,-32.37111871,0,7.879756485
03:54.9,7.879916327,-31.14341871,0.27438809,-32.39421871,0,7.879916327
03:55.2,7.879916327,-31.14361871,0.27455479,-32.39471871,0,7.879916327
03:55.6,7.879996248,-31.14121871,0.27455479,-32.35241871,0,7.879996248
03:55.9,7.879856386,-31.14371871,0.27455479,-32.39581871,0,7.879856386
03:56.2,7.879656584,-31.14521871,0.27455479,-32.44281871,0,7.879656584
03:56.6,7.879756485,-31.14411871,0.27455479,-32.43771871,0,7.879756485
03:56.9,7.879716524,-31.14211871,0.27422139,-32.35291871,0,7.879716524
03:57.2,7.879696544,-31.13991871,0.27422139,-32.35091871,0,7.879696544
03:57.6,7.879676564,-31.14151871,0.27422139,-32.41721871,0,7.879676564
03:57.9,7.879576663,-31.14111871,0.27438809,-32.39341871,0,7.879576663
03:58.2,7.879896347,-31.13941871,0.27438809,-32.35741871,0,7.879896347
03:58.6,7.879976268,-31.14081871,0.27438809,-32.37241871,0,7.879976268
03:58.9,7.879756485,-31.14211871,0.27438809,-32.38761871,0,7.879756485
